text,link
Journalist asks The Kerala Story makers to share profit with ISIS,https://thefauxy.com/journalist-demands-box-office-collection-of-the-kerala-story-be-given-to-isis/
"Pakistani guy mistook the infrared thermometer as a gun, shoots the checker with a real gun",https://thefauxy.com/pakistani-guy-mistook-the-infrared-thermometer-as-a-gun-shoots-the-checker-with-a-real-gun/
RoohAfza Crisis During Ramzan: A Deliberate Attempt By Modi To Keep Muslims Less Energetic During Voting,https://thefauxy.com/roohafza-crisis-during-ramzan-a-deliberate-attempt-by-modi-to-keep-muslims-less-energetic-during-voting/
Arjun Kapoor caught secretly attending the Pariksha Pe Charcha event to get tips for clearing 12th,https://thefauxy.com/arjun-kapoor-caught-secretly-attending-the-pariksha-pe-charcha-event-to-get-tips-for-clearing-12th/
UnReal Toon: Behold nuclear armed Pakistan!,https://web.archive.org/web/20150825052034/http://www.theunrealtimes.com/2015/08/25/unreal-toon-behold-nuclear-armed-pakistan/
“ND Tiwari’s offspring” added as a new caste category in ongoing 2011 Socio-Economic & Caste Census »,https://web.archive.org/web/20120517052749/http://www.theunrealtimes.com/2012/05/15/%e2%80%9cnd-tiwaris-offspring-added-as-a-new-caste-category-in-ongoing-2011-socio-economic-caste-census/
Corona Viruses Die Due To Suffocation In Mumbai Local Trains,https://thefauxy.com/corona-viruses-die-due-to-suffocation-in-mumbai-local-trains/
Pakistanis Caught Painting Tricolour On Its Shot Down F-16 Aircraft,https://thefauxy.com/pakistanis-caught-painting-tricolour-on-its-shot-down-f-16-aircraft/
Livid Ravi Shankar Prasad demands his own resignation over draft encryption policy,https://web.archive.org/web/20150926081403/http://www.theunrealtimes.com/2015/09/23/livid-ravi-shankar-prasad-demands-his-own-resignation-over-ludicrous-draft-encryption-policy/
Ravi Shastri attacked by cow vigilantes after his “cow corner” clichés anger them,https://web.archive.org/web/20160801221606/http://www.theunrealtimes.com/2016/08/01/ravi-shastri-attacked-by-cow-vigilantes-after-his-cow-corner-cliches-anger-them/
Man beats his wives during Pathaan movie for 4D experience,https://thefauxy.com/man-beats-his-wives-during-pathaan-movie-for-4d-experience/
"Former PM Dr. Manmohan Singh starts watching The Newshour, says its silence is very soothing",https://web.archive.org/web/20161209214805/http://www.theunrealtimes.com/2016/11/22/former-pm-dr-manmohan-singh-starts-watching-the-newshour-says-its-silence-is-very-soothing/
Pakistan Awaits China’s Vaccination Drive To Get Over So That Used Syringes Can Be Utilised For Vaccinating Pakistan People,https://thefauxy.com/pakistan-awaits-chinas-vaccination-drive-to-get-over-so-that-used-syringes-can-be-utilised-for-vaccinating-pakistan-people/
Mahindra Invents Car That Runs On Motivational Quotes,https://thefauxy.com/mahindra-invents-car-that-runs-on-motivational-quotes/
Taliban Renames Defence Ministry To Attack Ministry,https://thefauxy.com/taliban-renames-defence-ministry-to-attack-ministry/
Dr. Manmohan Singh wins lifetime achievement Oscar for acting as India’s Prime Minister »,https://web.archive.org/web/20120229114402/http://www.theunrealtimes.com/2012/02/27/dr-manmohan-singh-wins-lifetime-achievement-oscar-for-acting-as-indias-prime-minister/
Aam Aadmi Party leaders claim Arvind Kejriwal was Savarkar in his last birth,https://thefauxy.com/aam-aadmi-party-leaders-claim-arvind-kejriwal-was-savarkar-in-his-last-birth/
Stock Market Company Returns The Loss Of ₹27 As A Goodwill Gesture To A Guy Who Was Bragging About His Holdings And Loss On Social Media,https://thefauxy.com/stock-market-company-returns-the-loss-of-%e2%82%b927-as-a-goodwill-gesture-to-a-guy-who-was-bragging-about-his-holdings-and-loss-on-social-media/
Justin Trudeau Goes In Hiding As Russia Moves More Towards The West,https://thefauxy.com/justin-trudeau-goes-in-hiding-as-russia-moves-more-towards-the-west/
BJP summons Shatrugan Sinha after he accidentally praises the party,https://web.archive.org/web/20151028184734/http://www.theunrealtimes.com/2015/10/26/bjp-summons-shatrugan-sinha-after-he-accidentally-praises-the-party/
Heartwarming: man and his son clear CA together,https://thefauxy.com/heartwarming-man-and-his-son-clear-ca-together/
Piece of Kejriwal’s tongue that was cut out during surgery has grown to full size on its own,https://web.archive.org/web/20161013203759/http://www.theunrealtimes.com/2016/10/09/piece-of-kejriwals-tongue-that-was-cut-out-during-surgery-has-grown-to-full-size-on-its-own/
Dr. Manmohan Singh debuts on Facebook »,https://web.archive.org/web/20110705235237/http://www.theunrealtimes.com/2011/07/03/dr-manmohan-singh-debuts-on-facebook/
"After Last Evacuation Flight From Ukraine, Govt to Continue Operation Ganga for the People of West Bengal",https://thefauxy.com/after-last-evacuation-flight-from-ukraine-govt-to-continue-operation-ganga-for-the-people-of-west-bengal/
AAP To Form Alliance With NOTA Ahead of 2019 General Elections,https://thefauxy.com/aap-to-form-alliance-with-nota-ahead-of-2019-general-elections/
Leading Airline Company to start daily flights from Bengaluru to Bengaluru Airport,https://thefauxy.com/leading-airline-company-to-start-daily-flights-from-bengaluru-to-bengaluru-airport/
Elon Musk to Rename Twitter to T Æ W- 12,https://thefauxy.com/elon-musk-to-rename-twitter-to-t-ae-w-12/
Pakistan leaders put up posters “Modi hatao Desh bachao”,https://thefauxy.com/pakistan-leaders-put-up-posters-modi-hatao-desh-bachao/
Woman Finds Out Her Husband Cheated On Her After Husband’s Fitbit Shows 500 Calories Burned At Two AM.,https://thefauxy.com/woman-finds-out-her-husband-cheated-on-her-after-husbands-fitbit-shows-500-calories-burned-at-two-am/
Amitabh Bachchan was saving Kangana’s Dhaakad new hot song which mistakenly got posted,https://thefauxy.com/amitabh-bachchan-was-saving-kanganas-dhaakad-new-hot-song-which-mistakenly-got-posted/
Barack Obama to moderate debate between Kiran Bedi and Arvind Kejriwal,https://web.archive.org/web/20150123001451/http://www.theunrealtimes.com/2015/01/22/barack-obama-to-moderate-debate-between-kiran-bedi-and-arvind-kejriwal/
"Inspired by Jaitley, IT companies levy “Appraisal cess” on clients, face their wrath",https://web.archive.org/web/20160518030309/http://www.theunrealtimes.com/2016/05/16/inspired-by-jaitley-it-companies-levy-appraisal-cess-on-clients-face-their-wrath/
Grand Slam at Grand Chola,https://web.archive.org/web/20151003120019/http://www.theunrealtimes.com/2015/10/03/grand-slam-at-grand-chola/
"Mount Rushmore, Make way for Mount Amma!",https://web.archive.org/web/20150524114426/http://www.theunrealtimes.com/2015/05/24/mount-rushmore-make-way-for-mount-amma/
Teenager dumbfounded after middle aged couple asks him to take a photograph of them,https://web.archive.org/web/20150725061134/http://www.theunrealtimes.com/2015/07/25/teenager-dumbfounded-after-middle-aged-couple-asks-him-to-take-a-photograph-of-them/
Facebook Wall: Sushma Swaraj controversy spills over to social media,https://web.archive.org/web/20150619050541/http://www.theunrealtimes.com/2015/06/16/facebook-wall-sushma-swaraj-controversy-spills-over-to-social-media/
Now Kejriwal dares PM Modi to prove he was a chaiwala by making chai,https://web.archive.org/web/20160510140338/http://www.theunrealtimes.com/2016/05/10/now-kejriwal-dares-pm-modi-to-prove-he-was-a-chaiwala-by-making-chai/
11 best captions: What is PM Narendra Modi telling Dr. Subramanian Swamy?,https://web.archive.org/web/20160628191720/http://www.theunrealtimes.com/2016/06/27/11-best-captions-what-is-pm-narendra-modi-telling-dr-subramanian-swamy/
Pakistan Condemns Israel For Killing Innocent Terrorists,https://thefauxy.com/pakistan-condemns-israel-for-killing-innocent-terrorists/
“Placards Now Costlier Due To GST” Clarifies Sonam And Swara As Reason For Not Outraging On Twinkle Case,https://thefauxy.com/placards-now-costlier-due-to-gst-clarifies-sonam-and-swara-as-reason-for-not-outraging-on-twinkle-case/
Troll deactivates account fearing his trolling can make people terrorists,https://thefauxy.com/troll-deactivates-account-fearing-his-trolling-can-make-people-terrorists/
Jyotiraditya Scindia Seeks Kamalnath’s Resignation After He Announces Preference To People from MP For Jobs,https://thefauxy.com/jyotiraditya-scindia-seeks-kamalnaths-resignation-after-he-announces-preference-to-people-from-mp-for-jobs/
"Superstar Rajinikanth bows down before Delhi University, says even he can’t clear their cutoffs",https://web.archive.org/web/20150627001226/http://www.theunrealtimes.com/2015/06/26/superstar-rajinikanth-bows-down-before-delhi-university-says-even-he-cant-clear-their-cutoffs/
Maruti Announces Re-launch Of Omni After Exit Polls Suggest Return Of RJD,https://thefauxy.com/maruti-announces-re-launch-of-omni-after-exit-polls-suggest-return-of-rjd/
UnReal Toon: Why there is no space for protests in Modi’s India,https://web.archive.org/web/20151014210219/http://www.theunrealtimes.com/2015/10/14/unreal-toon-why-there-is-no-space-for-protests-in-modis-india/
Aamir Khan officially inaugurates the second festival of Intolerance,https://web.archive.org/web/20151204161712/http://www.theunrealtimes.com/2015/11/26/aamir-khan-officially-inaugurates-the-second-festival-of-intolerance/
Punjabi man requests Sonu Sood to transport him to Canada after his visa got rejected,https://thefauxy.com/punjabi-man-requests-sonu-sood-to-transport-him-to-canada-after-his-visa-got-rejected/
"Taimur Applauds SC Verdict On Section 377, Now Demands Article 370 To Be Scrapped.",https://thefauxy.com/taimur-applauds-sc-verdict-on-section-377-now-demands-article-370-to-be-scrapped/
"Neha Kakkar caught laughing in a reality show, IB Ministry issues a show-cause notice",https://thefauxy.com/neha-kakkar-caught-laughing-in-a-reality-show-ib-ministry-issues-a-show-cause-notice/
Pakistan Nominates Manmohan Singh For Peace Prize,https://thefauxy.com/pakistan-nominates-manmohan-singh-for-peace-prize/
"“I thought she was saying “Nana” when she said “Na, Na,” clarifies Nana Patekar on Tanushree Dutta’s allegations",https://thefauxy.com/i-thought-she-was-saying-nana-when-she-said-na-na-clarifies-nana-patekar-on-tanushree-duttas-allegations/
"After #DovalRunningISIS Pak trends #BhaktsRunningPCB, holds Bhakts guilty for players’ poor English",https://web.archive.org/web/20150713191441/http://www.theunrealtimes.com/2015/07/12/after-dovalrunningisis-pak-trends-bhaktsrunningpcb-holds-bhakts-guilty-for-cricketers-poor-english/
Rahul Gandhi gets pushed and shoved like aam aadmi during Delhi Metro commute »,https://web.archive.org/web/20111029023350/http://www.theunrealtimes.com/2011/10/05/rahul-gandhi-gets-pushed-and-shoved-like-aam-aadmi-during-delhi-metro-commute/
COMIC: Why Hollywood star Sharon Stone is ecstatic,https://web.archive.org/web/20160320132548/http://www.theunrealtimes.com/2016/03/14/comic-why-hollywood-star-sharon-stone-is-ecstatic/
Doctor Leaves iPhone In Patient’s Abdomen; Patient Arrested For Theft,https://thefauxy.com/doctor-leaves-iphone-in-patients-abdomen-patient-arrested-for-theft/
Salman Khan to receive Gyanpeeth award for Twitter literature,https://web.archive.org/web/20151204161712/http://www.theunrealtimes.com/2015/12/02/salman-khan-to-receive-gyanpeeth-award-for-twitter-literature/
"NRI Muslim returns to India from US, says intolerance is over now",https://web.archive.org/web/20161114080301/http://www.theunrealtimes.com/2016/11/10/nri-muslim-returns-to-india-from-us-says-intolerance-is-over-now/
Indore: Hindu Sangathan Volunteers Demand Refund After Stand-up Comedian Didn’t Crack Any Joke On Religion,https://thefauxy.com/indore-hindu-sangathan-volunteers-demand-refund-after-stand-up-comedian-didnt-crack-any-joke-on-religion/
UK To Auction Kohinoor Diamond To Revive Its Economy,https://thefauxy.com/uk-to-auction-kohinoor-diamond-to-revive-its-economy/
Elon Musk goes as Elon Musk to Twitter Halloween Party,https://thefauxy.com/elon-musk-goes-as-elon-musk-to-twitter-halloween-party/
"Wife Sets-up Telescope To View Solar Eclipse, Catches Husband With Neighbour’s Wife.",https://thefauxy.com/wife-sets-up-telescope-to-view-solar-eclipse-catches-husband-with-neighbours-wife/
Police Arrest An Instagram Fashion Blogger Who Was Posting Trial Room Selfies And Not Buying The Clothes,https://thefauxy.com/police-arrest-an-instagram-fashion-blogger-who-was-posting-trial-room-selfies-and-not-buying-the-clothes/
Man Fails To Get A Job At Buzzfeed Despite Being An Absolute Asshole,https://thefauxy.com/man-fails-to-get-a-job-at-buzzfeed-despite-being-an-absolute-asshole/
Baba Siddique now unites Youtubers and Tiktokers,https://thefauxy.com/baba-siddique-now-unites-youtubers-and-tiktokers/
New CEO Sundar Pichai promises that Google will soon answer why Kattappa killed Baahubali,https://web.archive.org/web/20150812231215/http://www.theunrealtimes.com/2015/08/11/new-ceo-sundar-pichai-promises-that-google-will-soon-answer-why-kattappa-killed-baahuabli/
Violent Hindu Fanatics Choose A Legal Route To Teach Tandav Makers A Lesson,https://thefauxy.com/violent-hindu-fanatics-choose-a-legal-route-to-teach-tandav-makers-a-lesson/
Desperate Sonia directs Dr Manmohan Singh to lend voice to ongoing protests in Parliament,https://web.archive.org/web/20150803094719/http://www.theunrealtimes.com/2015/08/03/desperate-sonia-directs-dr-manmohan-singh-to-lend-voice-to-ongoing-protests-in-parliament/
Shobhaa De tells Nobel panel not to consider her name,https://web.archive.org/web/20151011062435/http://www.theunrealtimes.com/2015/10/08/shobhaa-de-tells-nobel-panel-not-to-consider-her-name/
Watson Test cricket retirement: swing bowlers go into depression world over,https://web.archive.org/web/20150923042849/http://www.theunrealtimes.com/2015/09/10/watson-test-cricket-retirement-swing-bowlers-go-into-depression-world-over/
India likely to host G20 every month in different state for Pan India Development,https://thefauxy.com/india-likely-to-host-g20-every-month-in-different-state-for-pan-india-development/
AAP member expelled for “anti-party activity” after his cough gets mistaken for mockery of Kejriwal,https://web.archive.org/web/20150331022734/http://www.theunrealtimes.com/2015/03/30/aap-member-expelled-for-anti-party-activity-after-his-cough-gets-mistaken-for-mockery-of-kejriwal/
Facebook Wall: Players discuss 2nd consecutive loss in Ind vs Aus ODI series,https://web.archive.org/web/20160116213006/http://www.theunrealtimes.com/2016/01/16/facebook-wall-players-discuss-2nd-consecutive-loss-in-ind-vs-aus-odi-series/
UnReal Toon: The imprints of Swaraj,https://web.archive.org/web/20150331022734/http://www.theunrealtimes.com/2015/03/29/unreal-toon-the-imprints-of-swaraj/
Elon Musk Smokes Weed; Generates More Smoke Than All Tesla Cars Combined.,https://thefauxy.com/elon-musk-smokes-weed-generates-more-smoke-than-all-tesla-cars-combined/
"Arvind Kejriwal to build toilet in Puducherry, eagerly awaits Kabali First Day First Show ticket",https://web.archive.org/web/20160706194115/http://www.theunrealtimes.com/2016/07/05/arvind-kejriwal-to-build-toilet-in-puducherry-eagerly-awaits-kabali-first-day-first-show-ticket/
Facebook Wall: Sparring over Land Bill spills over to social media,https://web.archive.org/web/20150420145328/http://www.theunrealtimes.com/2015/04/20/facebook-wall-sparring-over-land-bill-spills-over-to-social-media/
Independence from #1 test team ranking: Celebrating an era of charitable domination »,https://web.archive.org/web/20110919082505/http://www.theunrealtimes.com/2011/08/14/independence-from-1-test-team-ranking-celebrating-an-era-of-charitable-domination/
People Boycott Carry Minati Mistaking Him For Mia Khalifa,https://thefauxy.com/people-boycott-carry-minati-mistaking-him-for-mia-khalifa/
Arvind Kejriwal Forgives The Man Who Will Slap Him Before 2022 MCD Election,https://thefauxy.com/arvind-kejriwal-forgives-the-man-who-will-slap-him-before-2022-mcd-election/
"Man Falls In Naala During Holi Celebration, Blocks It Like Ship Blocked Suez Canal",https://thefauxy.com/man-falls-in-naala-during-holi-celebration-blocks-it-like-ship-blocked-suez-canal/
UNESCO issues advance denial of declaring Kabali the best movie,https://web.archive.org/web/20160720201619/http://www.theunrealtimes.com/2016/07/17/unesco-issues-advance-denial-of-declaring-kabali-the-best-movie/
General Kayani weighs in on Army Chief’s DOB controversy »,https://web.archive.org/web/20120118040651/http://www.theunrealtimes.com/2012/01/17/general1-kayanis-weighs-in-on-army-chiefs-dob-controversy/
Gadkari asks BJP motormouths to say “Go to Sri Lanka” instead of Pakistan to promote sea bridge,https://web.archive.org/web/20151222154448/http://www.theunrealtimes.com/2015/12/22/gadkari-asks-bjp-motormouths-to-say-go-to-sri-lanka-instead-of-pakistan-to-promote-sea-bridge/
Dumbbell Falls On The Face Of A Feminist After She Refuses To Take Support From A Male Gym Trainer,https://thefauxy.com/dumbbell-falls-on-the-face-of-a-feminist-after-she-refuses-to-take-support-from-a-male-gym-trainer/
Kerala to Make Record of Covid Cases On Pinarayi Vijayan’s B’day,https://thefauxy.com/kerala-to-make-record-of-covid-cases-on-pinarayi-vijayans-bday/
Harish Rawat’s Game changer: Congress offices to be sting enabled,https://web.archive.org/web/20160510140338/http://www.theunrealtimes.com/2016/05/10/harish-rawats-game-changer-congress-offices-to-be-sting-enabled/
"May 19, 2116. Many things have changed, but…",https://web.archive.org/web/20160521235159/http://www.theunrealtimes.com/2016/05/19/may-19-2116-many-things-have-changed-but/
Big B’s playful banter with Mini B »,https://web.archive.org/web/20110625181941/http://www.theunrealtimes.com/2011/06/25/big-bs-playful-banter-with-mini-b/
Scientists Across The World Start Working On Covid 21 Vaccine After A Chinese Was Seen Eating Vulture Soup,https://thefauxy.com/scientists-across-the-world-start-working-on-covid-21-vaccine-after-a-chinese-was-seen-eating-vulture-soup/
Unreal Toon: Why Sadhvis have suddenly become great crowd pullers!,https://web.archive.org/web/20150303052511/http://www.theunrealtimes.com/2015/03/03/unreal-toon-sadhvi-prachi-the-crowd-puller/
Facebook Wall: Politicians react to emerging rift in AAP’s top leadership,https://web.archive.org/web/20150306171928/http://www.theunrealtimes.com/2015/03/03/facebook-wall-politicians-react-to-emerging-rift-in-aaps-top-leadership/
IAS Officer Suspended for not Posting Picture of Muslims Holding a Ganesh Idol,https://thefauxy.com/ias-officer-suspended-for-not-posting-picture-of-muslims-holding-a-ganesh-idol/
UnReal Toon: Vendetta Politics in the 21st century,https://web.archive.org/web/20151222154448/http://www.theunrealtimes.com/2015/12/20/unreal-toon-vendetta-politics-in-the-21st-century/
Milind Soman’s Running Naked On Beach Photo Circulated As Migrant Labour From Bihar,https://thefauxy.com/milind-somans-running-naked-on-beach-photo-circulated-as-migrant-labour-from-bihar/
Dr Manmohan Singh appeals to Larry Page not to dismantle Google+,https://web.archive.org/web/20150731034847/http://www.theunrealtimes.com/2015/07/29/dr-manmohan-singh-appeals-to-larry-page-not-to-dismantle-google/
"EXCLUSIVE: Ahead of World Cup 2015, Ravi Shastri reprises Mahatma Gandhi’s quotes for Team India",https://web.archive.org/web/20150114014540/http://www.theunrealtimes.com/2015/01/13/exclusive-ahead-of-world-cup-2015-ravi-shastri-reprises-mahatma-gandhis-quotes-for-team-india/
"Bhagwant Mann Reveals How AAP Will Bring Change In Punjab, Shows Two Piggy Banks Collected From Kids",https://thefauxy.com/bhagwant-mann-reveals-how-aap-will-bring-change-in-punjab-shows-two-piggy-banks-collected-from-kids/
Woman Gets Mask Tattooed On Her Face After Her Two Year Old Son Fails To Recognise Her Without Mask,https://thefauxy.com/woman-gets-mask-tattooed-on-her-face-after-her-two-year-old-son-fails-to-recognise-her-without-mask/
"After Facebook and Twitter, The Leaning Tower of Pisa Claimed to Lean Left Too",https://thefauxy.com/after-facebook-and-twitter-the-leaning-tower-of-pisa-claimed-to-lean-left-too/
PM Modi Clears Arvind Kejriwal Shignapur Trip,https://thefauxy.com/pm-modi-clears-arvind-kejriwal-shignapur-trip/
NASA Proposes Renaming Mars As Trash,https://thefauxy.com/nasa-proposes-renaming-mars-as-trash/
Starbucks Fires an Employee for Successfully Solving a Wordle,https://thefauxy.com/starbucks-fires-an-employee-for-successfully-solving-a-wordle/
India Running Out Of Countries To Give Its COVID-19 Vaccines,https://thefauxy.com/india-running-out-of-countries-to-give-its-covid-19-vaccines/
"Boy wearing a ‘My dad is an ATM’ T-shirt chased by mob; father frisked, robbed",https://web.archive.org/web/20161114080301/http://www.theunrealtimes.com/2016/11/12/boy-wearing-a-my-dad-is-an-atm-t-shirt-chased-by-mob-father-frisked-robbed/
"Nobel Awards Committee Decides to Award Prize for Maths too, here are the Favourites",https://thefauxy.com/nobel-awards-committee-decides-to-award-prize-for-maths-too-here-are-the-favourites/
Woman caught receiving food online from kitchen window and serving it to family for the last 3 years,https://thefauxy.com/woman-caught-receiving-food-online-from-kitchen-window-and-serving-it-to-family-for-the-last-3-years/
REVEALED:Transcripts of the Congress core group meeting that lead to Anna’s release »,https://web.archive.org/web/20110819041027/http://www.theunrealtimes.com/2011/08/17/transcripts-of-the-congress-core-group-meeting-to-release-anna-hazare1/
"Mani Shankar Aiyar condemns Columbus for discovering America, triggering tragic chain of events",https://web.archive.org/web/20150110132706/http://www.theunrealtimes.com/2015/01/09/mani-shankar-aiyar-condemns-columbus-for-discovering-america-setting-off-a-chain-of-events/
India May Use “Made In China” Missiles To Avenge Pulwama And Confuse Pakistan: Sources,https://thefauxy.com/india-may-use-made-in-china-missiles-to-avenge-pulwama-and-confuse-pakistan-sources/
Husband Beats Up Wife While Watching Kabir Singh; Calls It A 4D Toxic Masculinity Experience,https://thefauxy.com/husband-beats-up-wife-while-watching-kabir-singh-calls-it-a-4d-toxic-masculinity-experience/
Empty chair representing Congress stolen from Times Now studio,https://web.archive.org/web/20160429192223/http://www.theunrealtimes.com/2016/04/28/empty-chair-representing-congress-stolen-from-times-now-studio/
Man Removed His Eye After Watching Bigg Boss for 10 Minutes,https://thefauxy.com/man-removed-his-eye-after-watching-bigg-boss-for-10-minutes/
Ajay Devgn fined for riding only one bike at a time,https://thefauxy.com/ajay-devgn-fined-for-riding-only-one-bike-at-a-time/
Indian TikTok addict applies for Chinese citizenship after Boycott TikTok trends,https://thefauxy.com/indian-tiktok-addict-applies-for-chinese-citizenship-after-boycott-tiktok-trends/
"AAP secures speech sponsorship from Tide, sparks detergent-funding rage",https://web.archive.org/web/20150912023805/http://www.theunrealtimes.com/2015/09/04/aap-secures-speech-sponsorship-from-tide-sparks-detergent-funding-rage/
Man Feels Less Hatred For Capitalists After Getting Oxygen From Ambani’s Jamnagar Plant,https://thefauxy.com/man-feels-less-hatred-for-capitalists-after-getting-oxygen-from-ambanis-jamnagar-plant/
Janata Parivar to decide seat sharing in Bihar through a game of musical chairs,https://web.archive.org/web/20150527044800/http://www.theunrealtimes.com/2015/05/26/janata-parivar-to-decide-seat-sharing-in-bihar-through-a-game-of-musical-chairs/
Imran Khan Claims terrorists in Pakistan are not hiding but are stranded,https://thefauxy.com/imran-khan-claims-terrorists-in-pakistan-are-not-hiding-but-are-stranded/
Man Drives His Car Into An Election Rally Crowd After Police Tried To Catch Him For Not Wearing Mask,https://thefauxy.com/man-drives-his-car-into-an-election-rally-crowd-after-police-tried-to-catch-him-for-not-wearing-mask/
Beauty Products To Carry “Beauty Is Not Skin Deep” Warnings: Supreme Court,https://thefauxy.com/beauty-products-to-carry-beauty-is-not-skin-deep-warnings-supreme-court/
UnReal Toon: ISRO’s Mars Orbiter’s latest capture from the Red Planet,https://web.archive.org/web/20151123135532/http://www.theunrealtimes.com/2015/11/19/unreal-toon-isros-mars-orbiters-latest-capture-from-the-red-planet/
"EXCLUSIVE: Part 3 â Amit Shah, Dr.Subramanian Swamy replace a light bulb",https://web.archive.org/web/20150220021956/http://www.theunrealtimes.com/2015/02/19/exclusive-part-3-indian-politicians-replace-a-light-bulb/
Apple logo was designed by a Zomato delivery boy,https://thefauxy.com/apple-logo-was-designed-by-a-zomato-delivery-boy/
Protestors who looted puma showroom come to return shoes as they were not comfortable,https://thefauxy.com/protestors-who-looted-puma-showroom-come-to-return-shoes-as-they-were-not-comfortable/
Intelligence Busts Gujarati Group Secretly Conducting Garba In The Basement Of Their Society,https://thefauxy.com/intelligence-busts-gujarati-group-secretly-conducting-garba-in-the-basement-of-their-society/
"MoS for External Affairs, Preneet  Kaur, slams media, polity for Hina obsession »",https://web.archive.org/web/20110730062013/http://www.theunrealtimes.com/2011/07/27/mos-for-external-affairs-preneet-kaur-slams-media-polity-for-hina-obsession/
Facebook Wall: Reactions to land grab controversy involving Dream girl Hema Malini,https://web.archive.org/web/20160129102228/http://www.theunrealtimes.com/2016/01/29/facebook-wall-reactions-to-land-grab-controversy-involving-dream-girl-hema-malini/
Our diplomatic cricketers: What they say and what they actually mean,https://web.archive.org/web/20150509001934/http://www.theunrealtimes.com/2015/05/02/our-diplomatic-cricketers-what-they-say-and-what-they-actually-mean/
